|   S/N | Risk Statement                                                                                                                                                                                                                                      | Existing Controls in Place                                                                                                                                          |   Current Impact Level |   Current Likelihood Level | Current Risk Level   | Risk Treatment                                                                                            | Residual Impact Level   | Residual Likelihood Level   | Residual Risk Level   |
|------:|:----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:--------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------:|---------------------------:|:---------------------|:----------------------------------------------------------------------------------------------------------|:------------------------|:----------------------------|:----------------------|
|     1 | Malicious actor exploits a misconfigured security group on an Amazon RDS instance, gaining unauthorised access to sensitive customer data stored in the database.                                                                                   | Implemented the following:                                                                                                                                          |                      4 |                          2 | Low                  | Propose to implement the following:                                                                       | 4                       | 1                           | Low                   |
|       |                                                                                                                                                                                                                                                     | 1. Strong IAM policies                                                                                                                                              |                        |                            |                      | 1. Implement version control to version management and also roll back in the event of application failure |                         |                             |                       |
|       |                                                                                                                                                                                                                                                     | 2. Use multi-factor authentication (MFA) for database access                                                                                                        |                        |                            |                      | 2. Implement DAM monitoring (Amazon RDS Performance Insights)                                             |                         |                             |                       |
|       |                                                                                                                                                                                                                                                     | 3. Regularly rotate database credentials                                                                                                                            |                        |                            |                      |                                                                                                           |                         |                             |                       |
|       |                                                                                                                                                                                                                                                     | 4. Enable encryption at rest for RDS instances                                                                                                                      |                        |                            |                      |                                                                                                           |                         |                             |                       |
|     2 | An attacker exploits an unpatched cross-site scripting (XSS) vulnerability in a government web application to inject malicious scripts, stealing user session tokens and gaining unauthorised access to sensitive citizen data and CPF information. | Implemented the following:                                                                                                                                          |                      3 |                          1 | Medium               | -                                                                                                         | -                       | -                           | -                     |
|       |                                                                                                                                                                                                                                                     | 1. Use secure coding practices,                                                                                                                                     |                        |                            |                      |                                                                                                           |                         |                             |                       |
|       |                                                                                                                                                                                                                                                     | 2. Conduct Penetration testing on the application for major changes and ensure all medium and above known vulnerabilities are closed prior to release in production |                        |                            |                      |                                                                                                           |                         |                             |                       |
|     3 | Skilled hacker performs reconnaissance on a mobile application to gather critical information and exploit a lack of proper change management processes, compromising user data and potentially leading to data breach.                              | Implemented the following:                                                                                                                                          |                      3 |                          2 | Low                  | Propose to implement the following:                                                                       | 3                       | 1                           | Low                   |
|       |                                                                                                                                                                                                                                                     | 1. Use secure coding practices,                                                                                                                                     |                        |                            |                      | 1. Implement version control to version management and also roll back in the event of application failure |                         |                             |                       |
|       |                                                                                                                                                                                                                                                     | 2. Conduct security assessments of the application prior to release in production                                                                                   |                        |                            |                      |                                                                                                           |                         |                             |                       |
